time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z,,,,,,,,,,,
2022/11/02/21:16:40.283370,7026274,1667449000,283124126,tool0_controller,-0.136571708,0.70337648,1.153051619,-0.017461638,-0.012180748,0.014128123,,,,,,,,,,,
2022/11/02/21:16:40.285098,7026275,1667449000,284765598,tool0_controller,0.069962377,0.177584102,1.101409849,-0.009533829,-0.01836588,-0.000525271,,,,,,,,,,,
2022/11/02/21:16:40.286725,7026276,1667449000,286164927,tool0_controller,0.218043873,0.43353347,0.57216709,-0.011695521,-0.017428623,0.004400869,,,,,,,,,,,
2022/11/02/21:16:40.288409,7026277,1667449000,287791967,tool0_controller,0.06808287,0.404087519,0.699255991,-0.007630644,-0.024846385,0.005694853,,,,,,,,,,,
2022/11/02/21:16:40.289528,7026278,1667449000,289127584,tool0_controller,-0.112897767,0.625778631,0.747723981,-0.016502314,-0.027024518,0.006961127,,,,,,,,,,,
2022/11/02/21:16:40.290628,7026279,1667449000,290385732,tool0_controller,0.161264869,0.608286654,0.717964132,-0.011145702,-0.021316321,0.003825811,,,,,,,,,,,
2022/11/02/21:16:40.291764,7026280,1667449000,291658264,tool0_controller,0.181059159,0.877045508,1.032883586,-0.009522146,-0.026231996,0.009659207,,,,,,,,,,,
2022/11/02/21:16:40.296134,7026281,1667449000,292966500,tool0_controller,0.219900329,0.399098552,0.991695886,-0.007145912,-0.019045759,0.002500631,,,,,,,,,,,
2022/11/02/21:16:40.296669,7026282,1667449000,296376911,tool0_controller,0.085679409,0.43129055,0.68112102,-0.010457481,-0.018176956,0.004281125,,,,,,,,,,,
2022/11/02/21:16:40.298345,7026283,1667449000,298055951,tool0_controller,-0.002159901,0.850597207,0.329749488,-0.016908889,-0.025831073,0.012460089,,,,,,,,,,,
2022/11/02/21:16:40.300006,7026284,1667449000,299584660,tool0_controller,-0.10602536,0.593546774,0.723737363,-0.000851819,-0.030520214,0.003331903,,,,,,,,,,,
2022/11/02/21:16:40.301627,7026285,1667449000,301551673,tool0_controller,-0.115178936,0.62497393,0.559972957,-0.005980702,-0.00670884,0.003601164,,,,,,,,,,,
2022/11/02/21:16:40.303864,7026286,1667449000,303497591,tool0_controller,-0.260636706,0.462578547,0.758579263,-0.016614557,-0.006274348,0.007154943,,,,,,,,,,,
2022/11/02/21:16:40.306096,7026287,1667449000,305499327,tool0_controller,-0.09330231,0.720492054,0.858824994,-0.018856503,-0.019062975,0.018323244,,,,,,,,,,,
2022/11/02/21:16:40.307748,7026288,1667449000,307501718,tool0_controller,-0.126731267,0.766800704,0.7690367,-0.009848096,-0.026053004,0.015786145,,,,,,,,,,,
2022/11/02/21:16:40.313317,7026289,1667449000,309525868,tool0_controller,0.03672337,0.532832841,0.812325891,-0.006484002,-0.028591098,0.007165132,,,,,,,,,,,
2022/11/02/21:16:40.313355,7026290,1667449000,311569234,tool0_controller,-0.090052429,0.710163684,0.855901973,-0.013984512,-0.02754131,0.010078806,,,,,,,,,,,
2022/11/02/21:16:40.313966,7026291,1667449000,313539631,tool0_controller,0.126200677,0.515754359,0.569539022,-0.016947899,-0.021299581,0.010166891,,,,,,,,,,,
2022/11/02/21:16:40.316110,7026292,1667449000,315501378,tool0_controller,0.136207037,0.340033754,0.584276851,-0.007331419,-0.009063133,0.008557291,,,,,,,,,,,
2022/11/02/21:16:40.317879,7026293,1667449000,317530461,tool0_controller,-0.076328405,0.409454948,1.048663892,-0.01087624,-0.00936368,0.009369854,,,,,,,,,,,
2022/11/02/21:16:40.320097,7026294,1667449000,319569309,tool0_controller,0.006074127,0.375071878,0.96605049,-0.009070341,-0.009570918,0.004768011,,,,,,,,,,,
