t,w,x,y,z,ax,ay,az
0,,
1,Revision @ user[16][6] = A5,Checking hardware revision...
2,>*......>......,Resetting memory bank selection to 0...
2995,1.00,-0.00,-0.00,-0.01,38,-40,15
2996,1.00,-0.00,-0.00,-0.01,26,-91,-79
2997,1.00,-0.00,-0.00,-0.01,48,-47,-163
2998,1.00,-0.00,-0.00,-0.01,29,-14,-263
2999,1.00,-0.00,-0.00,-0.01,29,61,-337
3000,1.00,-0.00,-0.00,-0.01,-37,110,-214
3001,1.00,-0.00,-0.00,-0.01,-75,127,-101
3002,1.00,-0.00,-0.00,-0.01,-81,96,-14
3003,1.00,-0.00,-0.00,-0.01,-111,45,45
3004,1.00,-0.00,-0.00,-0.01,-130,59,121
3005,1.00,-0.00,-0.00,-0.01,-70,32,167
3006,1.00,-0.00,-0.00,-0.01,-27,0,171
3007,1.00,-0.00,-0.00,-0.01,116,13,130
3008,1.00,-0.00,-0.00,-0.01,126,-16,88
3009,1.00,-0.00,-0.00,-0.01,126,-63,-18
3010,1.00,-0.00,-0.00,-0.01,49,-70,-56
3011,1.00,-0.00,-0.00,-0.01,2,-49,-148
3012,1.00,-0.00,-0.00,-0.01,35,-2,-148
3013,1.00,-0.00,-0.00,-0.01,-78,39,-48
3014,1.00,-0.00,-0.00,-0.01,-125,128,-3
3015,1.00,-0.00,-0.00,-0.01,-96,144,45
3016,1.00,-0.00,-0.00,-0.01,-106,148,116
3017,1.00,-0.00,-0.00,-0.01,-67,114,212
3018,1.00,-0.00,-0.00,-0.01,-33,30,247
3019,1.00,-0.00,-0.00,-0.01,14,-19,254
3020,1.00,-0.00,-0.00,-0.01,18,-60,244
3021,1.00,-0.00,-0.00,-0.01,18,-87,192
3022,1.00,-0.00,-0.00,-0.01,98,-104,101
3023,1.00,-0.00,-0.00,-0.01,47,-124,-24
3024,1.00,-0.00,-0.00,-0.01,68,-65,-140
3025,1.00,-0.00,-0.00,-0.01,49,0,-165
3026,1.00,-0.00,-0.00,-0.01,-28,55,-138
3027,1.00,-0.00,-0.00,-0.01,-86,126,-51
3028,1.00,-0.00,-0.00,-0.01,-156,147,120
